Grammar Point,Meaning,Korean Example,English Example
-는 (도)중에,in the middle of~,연기하는 중에 기침해버렸다.,I accidentally coughed when I was in the middle of acting.
-에다(가),in(to)~ / at~,우유는 냉장고에다가 넣었어요.,I put milk into the refrigerator.
아/어/여 주다,[v] (for) me / us,알려줘서 고마워요.,Thank you for telling me.
-(으)ㄹ 정도(로) ,(verb)ingly ,놀라울 정도로 크게 외쳤다.,He shouted surprisingly loud.
-기 쉽다,easy to~,저 선생님의 수업은 이해하기 쉬워요.,That teacher's class is easy to understand.
-기 어렵다,difficult to~,작은 신발로는 걷기 어렵다.,It is difficult to walk in small shoes.
-ㄴ/는 척하다,pretend to~,그 후배는 착한 척한다.,He is pretending to be nice.
-ㄴ/는다니,that~,5개국어를 한다니 대단합니다.,It's amazing that you can speak 5 languages.
-는 한,as far as~,내가 아는 한 그것은 사실이에요.,"As far as I know, it is true."
(이)야말로,the~,지금이야말로 역사적인 순간입니다.,This is the historical moment.
얼마나 -(으)ㄴ/는지,how~,그 당시에는 얼마나 가난했는지 몰라요.,You can't imagine how poor we were at the time.
